Key,Id,English(en),Portuguese (Brazil)(pt-BR)
"Stage_Investigation",0,"Investigation","Investigação"
"Stage_TrackingCombat",0,"Tracking & Combat","Rastreamento & Combate"
"Stage_BossConfrontation",0,"Boss Confrontation","Confronto com o Chefe"
"Stage_Resolution",0,"Resolution","Resolução"
"Stage_Introduction",0,"Introduction","Introdução"
"Stage_Recovery",0,"Recovery","Recuperação"
"Stage_EvidenceGathering",0,"Evidence Gathering","Coleta de Evidências"
"Stage_Confrontation",0,"Confrontation","Confronto"
"Stage_Infiltration",0,"Infiltration","Infiltração"
"Stage_Action",0,"Action","Ação"
"Stage_Journal_Investigation",0,"Begin your investigation by gathering clues and speaking with witnesses.","Comece sua investigação coletando pistas e falando com testemunhas."
"Stage_Journal_TrackingCombat",0,"Track down the enemy hideout and engage hostile forces.","Rastreie o esconderijo inimigo e enfrente as forças hostis."
"Stage_Journal_BossConfrontation",0,"Confront the leader and put an end to the threat.","Confronte o líder e ponha fim à ameaça."
"Stage_Journal_Resolution",0,"Return to report your success and claim your reward.","Retorne para relatar seu sucesso e receba sua recompensa."
"Stage_Journal_Introduction",0,"Learn about the situation and accept the quest.","Aprenda sobre a situação e aceite a missão."
"Stage_Journal_Recovery",0,"Recover the stolen items and deal with the culprits.","Recupere os itens roubados e lide com os culpados."
"Stage_Journal_EvidenceGathering",0,"Search for evidence that reveals who is behind this.","Procure por evidências que revelem quem está por trás disso."
"Stage_Journal_Confrontation",0,"Confront those responsible with your findings.","Confronte os responsáveis com suas descobertas."
"Stage_Journal_Infiltration",0,"Sneak into the enemy stronghold undetected.","Entre furtivamente na fortaleza inimiga sem ser detectado."
"Stage_Journal_Action",0,"Act quickly before time runs out!","Aja rapidamente antes que o tempo acabe!"
"Transition_SkipToBoss",0,"Skip to Boss (campsite found)","Ir ao Chefe (acampamento encontrado)"
"Transition_SkipToResolution_Evidence",0,"Skip to Resolution (sealed orders found)","Ir à Resolução (ordens seladas encontradas)"
"Transition_SkipToAction",0,"Skip to Action (informant revealed location)","Ir à Ação (informante revelou localização)"
"Transition_SkipToResolution_Leader",0,"Skip to Resolution (cult leader defeated)","Ir à Resolução (líder do culto derrotado)"
"Stage_TheChoice",0,"The Choice","A Escolha"
"Stage_CombatPath",0,"Combat Path","Caminho do Combate"
"Stage_DiplomacyPath",0,"Diplomacy Path","Caminho da Diplomacia"
"Stage_LawfulPath",0,"Lawful Path","Caminho da Lei"
"Stage_Journal_TheChoice",0,"The merchant presents you with a difficult choice. How will you handle the bandit threat?","O mercador apresenta uma escolha difícil. Como você vai lidar com a ameaça dos bandidos?"
"Stage_Journal_CombatPath",0,"You've chosen to confront the bandits directly. Prepare for battle.","Você escolheu confrontar os bandidos diretamente. Prepare-se para a batalha."
"Stage_Journal_DiplomacyPath",0,"You've chosen to negotiate with the bandits. Seek a peaceful resolution.","Você escolheu negociar com os bandidos. Busque uma resolução pacífica."
"Stage_Journal_LawfulPath",0,"You've chosen to report the bandits to the authorities. Justice will be served.","Você escolheu denunciar os bandidos às autoridades. A justiça será feita."
"Choice_ConfrontBandits",0,"Confront the Bandits","Confrontar os Bandidos"
"Choice_ConfrontBandits_Tooltip",0,"Take the fight directly to the bandits. Violence may be necessary.","Leve a luta diretamente aos bandidos. Violência pode ser necessária."
"Choice_NegotiateBandits",0,"Negotiate with Bandits","Negociar com os Bandidos"
"Choice_NegotiateBandits_Tooltip",0,"Try to reach a peaceful agreement. Perhaps they can be reasoned with.","Tente chegar a um acordo pacífico. Talvez seja possível convencê-los."
"Choice_ReportToGuards",0,"Report to Guards","Denunciar aos Guardas"
"Choice_ReportToGuards_Tooltip",0,"Let the authorities handle this. It's the lawful approach.","Deixe as autoridades lidarem com isso. É a abordagem legal."
