Key,Id,English(en),Portuguese (Brazil)(pt-BR)
"Stage_Investigation",0,"Investigation","Investigação"
"Stage_TrackingCombat",0,"Tracking & Combat","Rastreamento & Combate"
"Stage_BossConfrontation",0,"Boss Confrontation","Confronto com o Chefe"
"Stage_Resolution",0,"Resolution","Resolução"
"Stage_Introduction",0,"Introduction","Introdução"
"Stage_Recovery",0,"Recovery","Recuperação"
"Stage_EvidenceGathering",0,"Evidence Gathering","Coleta de Evidências"
"Stage_Confrontation",0,"Confrontation","Confronto"
"Stage_Infiltration",0,"Infiltration","Infiltração"
"Stage_Action",0,"Action","Ação"
"Stage_Journal_Investigation",0,"Begin your investigation by gathering clues and speaking with witnesses.","Comece sua investigação coletando pistas e falando com testemunhas."
"Stage_Journal_TrackingCombat",0,"Track down the enemy hideout and engage hostile forces.","Rastreie o esconderijo inimigo e enfrente as forças hostis."
"Stage_Journal_BossConfrontation",0,"Confront the leader and put an end to the threat.","Confronte o líder e ponha fim à ameaça."
"Stage_Journal_Resolution",0,"Return to report your success and claim your reward.","Retorne para relatar seu sucesso e receba sua recompensa."
"Stage_Journal_Introduction",0,"Learn about the situation and accept the quest.","Aprenda sobre a situação e aceite a missão."
"Stage_Journal_Recovery",0,"Recover the stolen items and deal with the culprits.","Recupere os itens roubados e lide com os culpados."
"Stage_Journal_EvidenceGathering",0,"Search for evidence that reveals who is behind this.","Procure por evidências que revelem quem está por trás disso."
"Stage_Journal_Confrontation",0,"Confront those responsible with your findings.","Confronte os responsáveis com suas descobertas."
"Stage_Journal_Infiltration",0,"Sneak into the enemy stronghold undetected.","Entre furtivamente na fortaleza inimiga sem ser detectado."
"Stage_Journal_Action",0,"Act quickly before time runs out!","Aja rapidamente antes que o tempo acabe!"
"Transition_SkipToBoss",0,"Skip to Boss (campsite found)","Ir ao Chefe (acampamento encontrado)"
"Transition_SkipToResolution_Evidence",0,"Skip to Resolution (sealed orders found)","Ir à Resolução (ordens seladas encontradas)"
"Transition_SkipToAction",0,"Skip to Action (informant revealed location)","Ir à Ação (informante revelou localização)"
"Transition_SkipToResolution_Leader",0,"Skip to Resolution (cult leader defeated)","Ir à Resolução (líder do culto derrotado)"
